chapter,title,pages,bytes,reserved,source_url,saved_pdf
1,Rules of Civil Procedure,130,6767921,no,https://www.legis.iowa.gov/docs/ACO/CR/LINC/02-27-2026.chapter.1.pdf,pdfs/chapter-01.pdf
2,Rules of Criminal Procedure,103,21710824,no,https://www.legis.iowa.gov/docs/ACO/CR/LINC/02-27-2026.chapter.2.pdf,pdfs/chapter-02.pdf
3,Standard Forms of Pleadings for Small Claims Actions,37,2137572,no,https://www.legis.iowa.gov/docs/ACO/CR/LINC/02-27-2026.chapter.3.pdf,pdfs/chapter-03.pdf
4,Protective and No Contact Orders,4,77729,no,https://www.legis.iowa.gov/docs/ACO/CR/LINC/02-27-2026.chapter.4.pdf,pdfs/chapter-04.pdf
5,Rules of Evidence,22,213982,no,https://www.legis.iowa.gov/docs/ACO/CR/LINC/02-27-2026.chapter.5.pdf,pdfs/chapter-05.pdf
6,Rules of Appellate Procedure,84,6599931,no,https://www.legis.iowa.gov/docs/ACO/CR/LINC/02-27-2026.chapter.6.pdf,pdfs/chapter-06.pdf
7,Rules of Probate Procedure,108,23527531,no,https://www.legis.iowa.gov/docs/ACO/CR/LINC/02-27-2026.chapter.7.pdf,pdfs/chapter-07.pdf
8,Rules of Juvenile Procedure,58,17656247,no,https://www.legis.iowa.gov/docs/ACO/CR/LINC/02-27-2026.chapter.8.pdf,pdfs/chapter-08.pdf
9,Child Support Guidelines,46,6191337,no,https://www.legis.iowa.gov/docs/ACO/CR/LINC/02-27-2026.chapter.9.pdf,pdfs/chapter-09.pdf
10,Guidelines for Bond Forfeiture and Restoration,3,62449,no,https://www.legis.iowa.gov/docs/ACO/CR/LINC/02-27-2026.chapter.10.pdf,pdfs/chapter-10.pdf
11,Standards of Conduct for Mediators,7,102546,no,https://www.legis.iowa.gov/docs/ACO/CR/LINC/02-27-2026.chapter.11.pdf,pdfs/chapter-11.pdf
12,Rules for Involuntary Hospitalization of Mentally Ill Persons,46,10289872,no,https://www.legis.iowa.gov/docs/ACO/CR/LINC/02-27-2026.chapter.12.pdf,pdfs/chapter-12.pdf
13,Rules for Involuntary Commitment/Treatment of Substance Use Disorders,41,8586352,no,https://www.legis.iowa.gov/docs/ACO/CR/LINC/02-27-2026.chapter.13.pdf,pdfs/chapter-13.pdf
14,Iowa Rules of Electronic Search Warrant Procedure,5,177974,no,https://www.legis.iowa.gov/docs/ACO/CR/LINC/02-27-2026.chapter.14.pdf,pdfs/chapter-14.pdf
15,Iowa Rules of Remote Procedure,6,125527,no,https://www.legis.iowa.gov/docs/ACO/CR/LINC/02-27-2026.chapter.15.pdf,pdfs/chapter-15.pdf
16,Iowa Rules of Electronic Procedure,32,734299,no,https://www.legis.iowa.gov/docs/ACO/CR/LINC/02-27-2026.chapter.16.pdf,pdfs/chapter-16.pdf
17,Forms for Self-Represented Litigants,7,96222,no,https://www.legis.iowa.gov/docs/ACO/CR/LINC/02-27-2026.chapter.17.pdf,pdfs/chapter-17.pdf
18,Reserved,1,32557,yes,https://www.legis.iowa.gov/docs/ACO/CR/LINC/02-27-2026.chapter.18.pdf,pdfs/chapter-18.pdf
19,Reserved,1,32003,yes,https://www.legis.iowa.gov/docs/ACO/CR/LINC/02-27-2026.chapter.19.pdf,pdfs/chapter-19.pdf
20,Court Records,9,368041,no,https://www.legis.iowa.gov/docs/ACO/CR/LINC/02-27-2026.chapter.20.pdf,pdfs/chapter-20.pdf
21,Organization and Procedures of Appellate Courts,6,117027,no,https://www.legis.iowa.gov/docs/ACO/CR/LINC/02-27-2026.chapter.21.pdf,pdfs/chapter-21.pdf
22,Judicial Administration,19,590615,no,https://www.legis.iowa.gov/docs/ACO/CR/LINC/02-27-2026.chapter.22.pdf,pdfs/chapter-22.pdf
23,Time Standards for Case Processing,16,3099326,no,https://www.legis.iowa.gov/docs/ACO/CR/LINC/02-27-2026.chapter.23.pdf,pdfs/chapter-23.pdf
24,Reserved,1,32221,yes,https://www.legis.iowa.gov/docs/ACO/CR/LINC/02-27-2026.chapter.24.pdf,pdfs/chapter-24.pdf
25,Rules for Expanded News Media Coverage,13,1297546,no,https://www.legis.iowa.gov/docs/ACO/CR/LINC/02-27-2026.chapter.25.pdf,pdfs/chapter-25.pdf
26,Rules for Installment Payment Plans and Court Collection,5,350650,no,https://www.legis.iowa.gov/docs/ACO/CR/LINC/02-27-2026.chapter.26.pdf,pdfs/chapter-26.pdf
27,Reserved,1,32185,yes,https://www.legis.iowa.gov/docs/ACO/CR/LINC/02-27-2026.chapter.27.pdf,pdfs/chapter-27.pdf
28,Reserved,1,32654,yes,https://www.legis.iowa.gov/docs/ACO/CR/LINC/02-27-2026.chapter.28.pdf,pdfs/chapter-28.pdf
29,Reserved,1,32090,yes,https://www.legis.iowa.gov/docs/ACO/CR/LINC/02-27-2026.chapter.29.pdf,pdfs/chapter-29.pdf
30,Reserved,1,32611,yes,https://www.legis.iowa.gov/docs/ACO/CR/LINC/02-27-2026.chapter.30.pdf,pdfs/chapter-30.pdf
31,Admission to the Bar,37,4547201,no,https://www.legis.iowa.gov/docs/ACO/CR/LINC/02-27-2026.chapter.31.pdf,pdfs/chapter-31.pdf
32,Iowa Rules of Professional Conduct,89,670200,no,https://www.legis.iowa.gov/docs/ACO/CR/LINC/02-27-2026.chapter.32.pdf,pdfs/chapter-32.pdf
33,Standards for Professional Conduct,6,84525,no,https://www.legis.iowa.gov/docs/ACO/CR/LINC/02-27-2026.chapter.33.pdf,pdfs/chapter-33.pdf
34,Administrative and General Provisions of the Grievance Commission and Attorney Disciplinary Board,21,396793,no,https://www.legis.iowa.gov/docs/ACO/CR/LINC/02-27-2026.chapter.34.pdf,pdfs/chapter-34.pdf
35,Iowa Supreme Court Attorney Disciplinary Board Rules of Procedure,10,814385,no,https://www.legis.iowa.gov/docs/ACO/CR/LINC/02-27-2026.chapter.35.pdf,pdfs/chapter-35.pdf
36,Grievance Commission Rules of Procedure,12,461180,no,https://www.legis.iowa.gov/docs/ACO/CR/LINC/02-27-2026.chapter.36.pdf,pdfs/chapter-36.pdf
37,Commission on the Unauthorized Practice of Law,5,150248,no,https://www.legis.iowa.gov/docs/ACO/CR/LINC/02-27-2026.chapter.37.pdf,pdfs/chapter-37.pdf
38,Rules of Procedure of the Commission on the Unauthorized Practice of Law,5,145891,no,https://www.legis.iowa.gov/docs/ACO/CR/LINC/02-27-2026.chapter.38.pdf,pdfs/chapter-38.pdf
39,Client Security Commission,14,307914,no,https://www.legis.iowa.gov/docs/ACO/CR/LINC/02-27-2026.chapter.39.pdf,pdfs/chapter-39.pdf
40,Regulations of the Client Security Commission,4,109019,no,https://www.legis.iowa.gov/docs/ACO/CR/LINC/02-27-2026.chapter.40.pdf,pdfs/chapter-40.pdf
41,Continuing Legal Education for Lawyers,7,133923,no,https://www.legis.iowa.gov/docs/ACO/CR/LINC/02-27-2026.chapter.41.pdf,pdfs/chapter-41.pdf
42,Regulations of the Commission on Continuing Legal Education,7,177146,no,https://www.legis.iowa.gov/docs/ACO/CR/LINC/02-27-2026.chapter.42.pdf,pdfs/chapter-42.pdf
43,Lawyer Trust Account Commission,4,109652,no,https://www.legis.iowa.gov/docs/ACO/CR/LINC/02-27-2026.chapter.43.pdf,pdfs/chapter-43.pdf
44,Lawyer Trust Account Commission Grant Criteria and Guidelines,18,1010706,no,https://www.legis.iowa.gov/docs/ACO/CR/LINC/02-27-2026.chapter.44.pdf,pdfs/chapter-44.pdf
45,Client Trust Account Rules,6,177885,no,https://www.legis.iowa.gov/docs/ACO/CR/LINC/02-27-2026.chapter.45.pdf,pdfs/chapter-45.pdf
46,Rules of the Board of Examiners of Shorthand Reporters,10,150748,no,https://www.legis.iowa.gov/docs/ACO/CR/LINC/02-27-2026.chapter.46.pdf,pdfs/chapter-46.pdf
47,Court Interpreter and Translator Rules,21,1576117,no,https://www.legis.iowa.gov/docs/ACO/CR/LINC/02-27-2026.chapter.47.pdf,pdfs/chapter-47.pdf
48,Code of Professional Conduct for Court Interpreters and Translators,10,138449,no,https://www.legis.iowa.gov/docs/ACO/CR/LINC/02-27-2026.chapter.48.pdf,pdfs/chapter-48.pdf
49,Office of Professional Regulation,4,95276,no,https://www.legis.iowa.gov/docs/ACO/CR/LINC/02-27-2026.chapter.49.pdf,pdfs/chapter-49.pdf
50,Reserved,1,32598,yes,https://www.legis.iowa.gov/docs/ACO/CR/LINC/02-27-2026.chapter.50.pdf,pdfs/chapter-50.pdf
51,Iowa Code of Judicial Conduct,30,264469,no,https://www.legis.iowa.gov/docs/ACO/CR/LINC/02-27-2026.chapter.51.pdf,pdfs/chapter-51.pdf
52,Rules of Procedure of the State of Iowa Commission on Judicial Qualifications,9,124522,no,https://www.legis.iowa.gov/docs/ACO/CR/LINC/02-27-2026.chapter.52.pdf,pdfs/chapter-52.pdf
53,Reserved,1,43700,yes,https://www.legis.iowa.gov/docs/ACO/CR/LINC/02-27-2026.chapter.53.pdf,pdfs/chapter-53.pdf
54,Reserved,1,43407,yes,https://www.legis.iowa.gov/docs/ACO/CR/LINC/02-27-2026.chapter.54.pdf,pdfs/chapter-54.pdf
55,Reserved,1,43013,yes,https://www.legis.iowa.gov/docs/ACO/CR/LINC/02-27-2026.chapter.55.pdf,pdfs/chapter-55.pdf
56,Reserved,1,43596,yes,https://www.legis.iowa.gov/docs/ACO/CR/LINC/02-27-2026.chapter.56.pdf,pdfs/chapter-56.pdf
57,Reserved,1,43363,yes,https://www.legis.iowa.gov/docs/ACO/CR/LINC/02-27-2026.chapter.57.pdf,pdfs/chapter-57.pdf
58,Reserved,1,43414,yes,https://www.legis.iowa.gov/docs/ACO/CR/LINC/02-27-2026.chapter.58.pdf,pdfs/chapter-58.pdf
59,Reserved,1,43592,yes,https://www.legis.iowa.gov/docs/ACO/CR/LINC/02-27-2026.chapter.59.pdf,pdfs/chapter-59.pdf
60,Reserved,1,43303,yes,https://www.legis.iowa.gov/docs/ACO/CR/LINC/02-27-2026.chapter.60.pdf,pdfs/chapter-60.pdf
61,Iowa Standards of Practice for Attorneys Representing Parents in Juvenile Court,16,185416,no,https://www.legis.iowa.gov/docs/ACO/CR/LINC/02-27-2026.chapter.61.pdf,pdfs/chapter-61.pdf
62,Iowa Standards of Practice for Lawyers Representing Children in Custody Cases,15,188355,no,https://www.legis.iowa.gov/docs/ACO/CR/LINC/02-27-2026.chapter.62.pdf,pdfs/chapter-62.pdf
63,Iowa Standards of Practice for Child and Family Reporters in Child Custody Cases,6,116656,no,https://www.legis.iowa.gov/docs/ACO/CR/LINC/02-27-2026.chapter.63.pdf,pdfs/chapter-63.pdf
64,Reserved,1,45068,yes,https://www.legis.iowa.gov/docs/ACO/CR/LINC/02-27-2026.chapter.64.pdf,pdfs/chapter-64.pdf
65,Reserved,1,45321,yes,https://www.legis.iowa.gov/docs/ACO/CR/LINC/02-27-2026.chapter.65.pdf,pdfs/chapter-65.pdf
66,Reserved,1,44631,yes,https://www.legis.iowa.gov/docs/ACO/CR/LINC/02-27-2026.chapter.66.pdf,pdfs/chapter-66.pdf
67,Reserved,1,45022,yes,https://www.legis.iowa.gov/docs/ACO/CR/LINC/02-27-2026.chapter.67.pdf,pdfs/chapter-67.pdf
68,Reserved,1,45499,yes,https://www.legis.iowa.gov/docs/ACO/CR/LINC/02-27-2026.chapter.68.pdf,pdfs/chapter-68.pdf
69,Reserved,1,45211,yes,https://www.legis.iowa.gov/docs/ACO/CR/LINC/02-27-2026.chapter.69.pdf,pdfs/chapter-69.pdf
70,Iowa Rules of Juvenile Court Services Directed Programs,16,189142,no,https://www.legis.iowa.gov/docs/ACO/CR/LINC/02-27-2026.chapter.70.pdf,pdfs/chapter-70.pdf
